id,timestamp,score
ejy2ux,1578152437,1
ejy2ww,1578152445,1
ejy4wp,1578152721,1299
ejy5ia,1578152803,3
ejy5of,1578152831,1
ejy5rl,1578152844,5
ejy6a1,1578152912,2
ejy6gt,1578152935,1
ejy6xv,1578153002,1
ejy7ru,1578153115,8
ejy7sp,1578153119,13
ejy7vo,1578153130,10
ejyapx,1578153532,1
ejyata,1578153545,0
ejycvt,1578153807,22154
ejyd3s,1578153832,0
ejydse,1578153927,4
ejyduu,1578153934,5
ejyeq4,1578154047,1
ejyeul,1578154066,3
ejyevj,1578154070,2
ejyewq,1578154074,72
ejyfpn,1578154181,132
ejyg9t,1578154257,62
ejygsp,1578154320,3
ejygwm,1578154331,1
ejyh7w,1578154373,8
ejyi3t,1578154483,19
ejyia5,1578154510,0
ejyjjx,1578154670,0
ejyljj,1578154927,80
ejyo9a,1578155282,127
ejyor2,1578155346,591
ejyp0v,1578155382,5
ejyp2w,1578155388,171
ejypb8,1578155416,1
ejypt3,1578155483,351
ejys2o,1578155768,81
ejyt6c,1578155909,1
ejytqv,1578155975,0
ejyv5f,1578156159,1
ejyvs9,1578156238,1
ejywe6,1578156313,94
ejyweo,1578156315,2
ejywr6,1578156361,1
ejz1wf,1578157006,3
ejz34r,1578157161,1
ejz3d5,1578157190,0
ejz3ef,1578157196,1
ejz3nw,1578157226,62
ejz3nz,1578157226,1
ejz4np,1578157343,2
ejz4pb,1578157348,10
ejz599,1578157418,24
ejz5cw,1578157432,1
ejz5sc,1578157481,1
ejz95w,1578157883,1
ejz9xm,1578157982,74
ejzaab,1578158025,3
ejzans,1578158074,3
ejzbig,1578158181,2
ejzc1t,1578158254,1183
ejzcrr,1578158342,2
ejzdtd,1578158479,1
ejzduz,1578158487,0
ejzdzr,1578158507,1
ejze1d,1578158512,3
ejze58,1578158525,0
ejzf29,1578158647,10
ejzf5k,1578158658,1
ejzg6w,1578158791,2
ejzhcr,1578158935,5
ejzhnp,1578158972,1
ejzi4e,1578159026,1
ejzib5,1578159049,4
ejzl0q,1578159361,0
ejzmvh,1578159570,3
ejzo5r,1578159720,6
ejzqat,1578159965,1
ejzqoc,1578160002,0
ejzqsf,1578160014,1
ejzr0j,1578160043,4
ejzrb2,1578160075,1
ejzrdc,1578160083,1
ejzsuu,1578160263,12
ejzsv9,1578160264,1
ejzt64,1578160301,3
ejzu6o,1578160413,0
ejzuk0,1578160460,5
ejzun7,1578160470,2
ejzuwt,1578160505,3
ejzux4,1578160506,1
ejzvf1,1578160566,1
ejzvgx,1578160572,0
ejzvme,1578160588,202
ejzvve,1578160621,0
ejzwfe,1578160685,8
ejzwpy,1578160721,1
ejzx4s,1578160768,1
ejzy0r,1578160868,5
ejzzba,1578161024,1
ejzzkt,1578161056,0
ejzzn8,1578161061,3
ek00au,1578161133,53
ek01zg,1578161330,8
ek02ql,1578161417,1
ek035r,1578161467,1
ek03jl,1578161508,30
ek042a,1578161570,111
ek048j,1578161589,18
ek04lm,1578161633,22
ek04uc,1578161663,1
ek04z0,1578161678,1
ek05r3,1578161778,1
ek06jh,1578161870,1
ek09z3,1578162283,1
ek0ahh,1578162342,7
ek0ajw,1578162350,8
ek0bgj,1578162463,3
ek0blr,1578162484,0
ek0ezm,1578162909,2
ek0f5o,1578162930,5
ek0f8h,1578162941,16
ek0for,1578162999,1
ek0gdb,1578163086,8
ek0go9,1578163124,3
ek0h9v,1578163194,2955
ek0hdi,1578163206,60
ek0ito,1578163374,4
